,DIG,TTF,BIC,TDG,ADS,FRT,NHA,NVT,DBT,HCD,SSB,DMC,MCH,NAV,PVD,DTA,NVL,HT1,VTB,SMB,PIT,NHH,PGC,GSP,CIG,HDB,VIP,BSR,HAR,NT2
NAV,0.3797915877126383,0.22771620371775933,0.49904423975696643,0.5959931516636316,0.30114838882852857,0.34233101947477357,0.7528947788122754,0.46721220070475056,0.3638325667536082,0.5984440885654274,0.11583466528908207,0.26898529854129516,0.5401649380506122,1.0,-0.06722443034824306,0.3299298660015428,0.38847477713417533,0.26580631070425936,0.3672337250539461,0.7987117290085785,0.4057273349189519,0.27513455757820654,0.5987667808530883,0.5731467718976055,0.6227306696950843,0.45355454408802004,0.22260598232138754,0.5988809296245576,0.25278069903618755,-0.7162765095197426
PVD,0.1283092709679721,-0.28561400008048643,0.33443054640667913,-0.17747545580269694,0.06922869174960979,0.5232591462313079,0.22266346753848743,-0.23980511436265406,0.5321560927471786,0.5894784969161095,-0.35312360823092154,0.586995248043957,0.32000132842589857,-0.06722443034824306,1.0,-0.25890453119758394,-0.4012740349771605,0.045434570076629356,-0.45635843641865786,-0.15868987560104808,0.19407857180255403,0.5113699399558086,-0.43492547000847254,0.5920288398671558,0.05013206165000786,0.5066084692142764,0.623328223977293,0.2528952956105481,-0.03950024651707688,0.06408798082509506
DTA,0.8004995633646289,0.9330047485711398,-0.43258589417608495,0.8224855518902813,0.8937024670886737,-0.5952202914384507,0.5935652924402824,0.8830006458333973,-0.07507998693872527,0.30364672050748015,0.8614068542938422,-0.36081234027353903,-0.45777660745401166,0.3299298660015428,-0.25890453119758394,1.0,0.8680645341125258,0.7804733807348072,0.5840109928452668,0.10749669950878563,0.6844842178688849,0.5493405393242755,0.7802756271431153,-0.138811896232296,0.6682992363020226,-0.47272117820399284,-0.5436059528132149,0.40268783607678704,0.8835653037250061,-0.01562305908791399
NVL,0.779681856771307,0.8914294957820715,-0.390539159843289,0.8286172276145557,0.7387588253096135,-0.4981418446116242,0.499428874585051,0.8826192355796472,-0.20118082480992658,0.1842482680711974,0.7538084530385163,-0.4376617150284418,-0.35278330359150867,0.38847477713417533,-0.4012740349771605,0.8680645341125258,1.0,0.5585937551008442,0.6222029296134153,0.1952705380879899,0.4763026973729446,0.3376713312804123,0.8597434244861805,-0.2250679661268081,0.5230914215185329,-0.4245635806254662,-0.66981852176442,0.47965425414428764,0.7785504677268843,-0.16254210082804396
HT1,0.6929037698805383,0.7858371836025209,-0.1972237660683712,0.687540596428221,0.8270688082275586,-0.3973177693004401,0.6163103879490756,0.7372939879413734,0.21013759793912104,0.4439890970594889,0.7020812072529281,-0.13123922479756855,-0.2953600099866604,0.26580631070425936,0.045434570076629356,0.7804733807348072,0.5585937551008442,1.0,0.4275055271930698,0.021638446734173294,0.6086551739342614,0.5806470795495755,0.6025402060364706,0.09789954271206065,0.6150849195817661,-0.23752732386692207,-0.1909173386310509,0.4328950379968807,0.8355878457168181,0.18556155045561532
VTB,0.38418592962933024,0.6057115827545734,-0.29693273800089875,0.48055550185173734,0.4104746984553628,-0.494036509669185,0.2948174391526328,0.5926955602111758,-0.31290432670982,0.03421312699666746,0.6203586188643947,-0.5557718554584619,-0.3029264476033988,0.3672337250539461,-0.45635843641865786,0.5840109928452668,0.6222029296134153,0.4275055271930698,1.0,0.2125615825528626,0.1629662804616287,0.17781803994820405,0.618591103896289,-0.2848653992366841,0.2737369223369978,-0.4068866840698708,-0.5221228651617802,0.08422425227918398,0.5375914871926364,-0.028085621711541334
SMB,0.09678478728231263,-0.03324812022428456,0.5955173845332248,0.35440258773427213,-0.02802454829327896,0.4109301346775881,0.5506694226811557,0.2289695550109348,0.401133034566178,0.35762133134709684,-0.019888486993817494,0.35391087649357883,0.6275725044285089,0.7987117290085785,-0.15868987560104808,0.10749669950878563,0.1952705380879899,0.021638446734173294,0.2125615825528626,1.0,0.17596767915790604,-0.01695454130161395,0.48776639808931016,0.544733299343038,0.5473738159445636,0.5226149377351387,0.3344395713267168,0.356701432213861,-0.05311777392696666,-0.6518588461391059
PIT,0.7448918033241283,0.5782703108018321,-0.0466871797085691,0.6444238568750594,0.791935513396749,-0.07498434731451432,0.6764119294596125,0.6112641365258682,0.2471095614351078,0.6269402366889341,0.4373280521814891,0.20207193053876477,-0.06041806631304414,0.4057273349189519,0.19407857180255403,0.6844842178688849,0.4763026973729446,0.6086551739342614,0.1629662804616287,0.17596767915790604,1.0,0.6969242966513473,0.43376155884166456,0.3314400485215785,0.7186298859067817,0.010189354789529098,-0.011431809614744985,0.5530321749757526,0.6587028433236812,-0.2777277065678375
NHH,0.6751971242281155,0.4769114756684113,-0.1313687841115835,0.444767311100994,0.7175571314820492,-0.09759584464926967,0.5935916346078812,0.4493832584854294,0.2375568709630777,0.7206540738249632,0.4045712007936635,0.08135408058114661,-0.14152611363518744,0.27513455757820654,0.5113699399558086,0.5493405393242755,0.3376713312804123,0.5806470795495755,0.17781803994820405,-0.01695454130161395,0.6969242966513473,1.0,0.20285098718459094,0.3173479372646989,0.522169999087679,-0.002105586460269783,0.0361034273762166,0.42523170157863766,0.6136422883364991,-0.04705829982324777
PGC,0.6506767902369974,0.778537464746084,-0.07523976066176154,0.8637832456281072,0.6271318417991458,-0.30234992819893924,0.6448286828983754,0.8598488095043186,0.038174331410860816,0.23475232144066652,0.6682733900445096,-0.21651209240169655,-0.059119597553836924,0.5987667808530883,-0.43492547000847254,0.7802756271431153,0.8597434244861805,0.6025402060364706,0.618591103896289,0.48776639808931016,0.43376155884166456,0.20285098718459094,1.0,0.02843885764073573,0.6377627203931376,-0.1943189593007463,-0.38542858390612555,0.573223066859746,0.6722422448102205,-0.2686196803730542
GSP,0.14342391501768978,-0.2637339397530135,0.7845559671762922,0.18638085686900743,0.050898240093127545,0.7828742387327857,0.6229674849406686,-0.011145093226955616,0.8318474381858252,0.7347552899608146,-0.38415274445426456,0.8462324517502072,0.8097616530307356,0.5731467718976055,0.5920288398671558,-0.138811896232296,-0.2250679661268081,0.09789954271206065,-0.2848653992366841,0.544733299343038,0.3314400485215785,0.3173479372646989,0.02843885764073573,1.0,0.4978666415854979,0.8630448828952615,0.8250400642998397,0.5688416292021389,-0.0964792452216084,-0.5328463021746399
CIG,0.6639621924321053,0.5259392082935176,0.19360339458172257,0.7256015067494925,0.6556750581282196,0.039607984660687885,0.822640045053175,0.6519010253792297,0.48987203415748276,0.5975248251666725,0.38772010678177105,0.30228581331982657,0.19477313888285644,0.6227306696950843,0.05013206165000786,0.6682992363020226,0.5230914215185329,0.6150849195817661,0.2737369223369978,0.5473738159445636,0.7186298859067817,0.522169999087679,0.6377627203931376,0.4978666415854979,1.0,0.20636837242757955,0.10715045623662876,0.5824446073234473,0.5682296547348625,-0.355959988042735
HDB,-0.10022152421295959,-0.5267390642569091,0.887926077911024,-0.049609624596041464,-0.29095082109375436,0.940837106913626,0.3580201223548271,-0.2669050436036958,0.7476307429248622,0.5292493328974107,-0.6704493421721532,0.8413981241591483,0.9379237522956057,0.45355454408802004,0.5066084692142764,-0.47272117820399284,-0.4245635806254662,-0.23752732386692207,-0.4068866840698708,0.5226149377351387,0.010189354789529098,-0.002105586460269783,-0.1943189593007463,0.8630448828952615,0.20636837242757955,1.0,0.8416453579218294,0.38598905278322965,-0.36727785687813075,-0.5644991502238917
VIP,-0.2980149738557984,-0.643172608113044,0.8245448033796364,-0.2673881906254411,-0.3271624120739151,0.8241015308746809,0.22894894958508846,-0.44143632428688884,0.7400988673914131,0.4308198566758989,-0.6447972469239561,0.8367205077294505,0.7917975089338364,0.22260598232138754,0.623328223977293,-0.5436059528132149,-0.66981852176442,-0.1909173386310509,-0.5221228651617802,0.3344395713267168,-0.011431809614744985,0.0361034273762166,-0.38542858390612555,0.8250400642998397,0.10715045623662876,0.8416453579218294,1.0,0.1636288129760028,-0.4539189211468052,-0.27173595159391933
BSR,0.6807458777649426,0.42932232924505287,0.30479167412938785,0.7370046573712021,0.5558919831477335,0.3163375028200657,0.7425883676221602,0.6076681952432142,0.49178044319022934,0.6553523505752541,0.12728713841239914,0.3762230965775526,0.388548698972218,0.5988809296245576,0.2528952956105481,0.40268783607678704,0.47965425414428764,0.4328950379968807,0.08422425227918398,0.356701432213861,0.5530321749757526,0.42523170157863766,0.573223066859746,0.5688416292021389,0.5824446073234473,0.38598905278322965,0.1636288129760028,1.0,0.4859002561265955,-0.459850172488505
HAR,0.904213690750183,0.9408153087263372,-0.3592109711713832,0.798471986980281,0.9276682281473476,-0.4723314044712671,0.6093344486512513,0.8833881862728558,-0.003050826376391446,0.40521949963432286,0.7306455092595863,-0.3041841760560296,-0.3945895372393595,0.25278069903618755,-0.03950024651707688,0.8835653037250061,0.7785504677268843,0.8355878457168181,0.5375914871926364,-0.05311777392696666,0.6587028433236812,0.6136422883364991,0.6722422448102205,-0.0964792452216084,0.5682296547348625,-0.36727785687813075,-0.4539189211468052,0.4859002561265955,1.0,0.08247705988033685
NT2,-0.18101712828237684,0.09110121187597538,-0.5177541634254086,-0.3582817162516706,-0.019787301955299298,-0.553467952866863,-0.4760098833794212,-0.16749841323537898,-0.3193396750822066,-0.4660504894262406,0.23837266717172254,-0.4200503765494584,-0.6562973827575099,-0.7162765095197426,0.06408798082509506,-0.01562305908791399,-0.16254210082804396,0.18556155045561532,-0.028085621711541334,-0.6518588461391059,-0.2777277065678375,-0.04705829982324777,-0.2686196803730542,-0.5328463021746399,-0.355959988042735,-0.5644991502238917,-0.27173595159391933,-0.459850172488505,0.08247705988033685,1.0
