,PC1,PC2,PC3
PLX,0.06366742382271078,0.011604689814186615,-0.0918715957500071
PNJ,0.012300872178144759,0.005248103582958441,0.1356354879684686
POW,0.05812283343522982,-0.010278481155112757,-0.08979022876329582
PPC,0.06890981775953214,-0.013914431163942684,-0.009612521191963711
PTC,0.06639726509344833,-0.03741118784068184,0.03439290646413224
PTL,0.06509981386925084,-0.011767614735317487,0.009341983518159633
PVD,0.012572856625501002,0.11701683633569705,-0.03273360587987784
PVP,0.05628674371994059,0.06102242210843585,-0.06496329736823274
PVS,0.009298648680406836,0.12066758536551966,0.018031742178486
PVT,0.017610194868416414,0.11151790794001691,0.01246499860314326
QCG,0.05578722948716863,0.06406789524362388,-0.006617245019796908
REE,-0.0047275199202898134,-0.057582397166857445,0.13556917877460017
SAB,0.010230066067212613,-0.10685756231255439,-0.06442719616137038
SAM,0.06257574740217577,-0.05176079342648747,0.056497526270417986
SAV,0.0696811628016981,0.0033234051255322614,-0.031515378101240075
SBA,-0.03738951461797381,0.08466455759516262,0.06737418000429425
SBT,0.06648121107868778,0.002927828578733402,-0.06236181967753789
SBV,0.0607133511858131,-0.059569594411539674,0.021627509005606824
SCR,0.06755056210115179,-0.012500837083059628,0.007313403356252134
SCS,0.06408438420723585,-0.04383724396602041,0.03574370859053234
SFG,0.06870072573514667,-0.028512845961345408,-0.010487687731176096
SFI,0.0644151455544486,-0.021163860777027917,0.002613596256795959
SGN,0.04125529378453639,0.05731401126127025,-0.0516270764606873
SGR,0.05374158736127684,0.05889733124600646,-0.07443204855261233
SGT,0.06785458503642264,-0.028702101007603842,0.004101216265377102
SHA,0.06700963878517165,0.016323728674946244,0.04038751461932217
SHB,0.06127921972251586,0.057219623676753435,-0.02356110302182869
SHI,0.017766474164917775,-0.03532444872407113,-0.056471714228705124
SHP,-0.0038102629336622734,0.10907618163788732,0.09961467135174754
SIP,0.0357993850022091,0.09656065461602541,0.06840667335850868
SJD,0.06531534263184874,-0.0021485718229314462,0.07499398873558911
SJS,0.06342667639845087,0.015144287753773616,0.07255210971476705
SKG,0.050440711536795295,-0.006211534737535312,-0.06570889728250523
SMB,0.05239050340525954,-0.04592810308251007,-0.03408977683833772
SMC,0.06886546314288859,-0.03388691280141611,0.00044520270543198167
SRC,-0.016901342096152346,0.09917805474597022,0.024116396479797426
SSB,0.05415544918057292,-0.044459302970780275,-0.09351284183350377
SSI,0.06237660333144266,0.05865669988633835,-0.025155988562424594
ST8,-0.026493633397249004,0.07060305836431403,-0.006646771860373125
STB,0.03156538174220759,0.09538483184916062,-0.09496068735822082
SVD,0.05947207013666907,-0.06016604545403667,0.02419855665196959
SVT,0.06894113877726386,0.003616716917305398,-0.033369682657269605
SZC,0.06559235174198563,0.045110892749759254,0.005675903721313721
SZL,0.048225899876831936,0.07608409395373145,0.01391991510590797
TBC,-0.01446423183578825,0.12231129556756148,0.000204497003438412
TCB,0.06608753104210828,-0.0444442579781784,0.03378445611433032
TCD,0.06914289931001408,-0.013088357597011503,0.015592941037866062
TCH,0.05786839645382937,0.06567285505197672,-0.025470102213716424
TCI,0.057182287719771206,0.07277503674573942,-0.0334221220689186
TCO,0.06590023914220933,-0.027576945482775787,-0.02696130455160986
TCT,0.05086428702954436,-0.0808363366224164,-0.007429216182696299
TDC,0.05856661231333072,-0.03338450387572467,-0.030708563727624025
TDG,0.06742033042121069,-0.03573528808954323,0.03089048915455376
TDH,0.06921192399339195,0.007693653702953532,0.000547814949430834
TDM,0.0093567595817276,0.09987240245673557,0.06405743916998834
TDP,-0.03295416108652677,0.08540084400406973,-0.04876053633646589
TEG,0.05737309588813614,0.0585377433215399,-0.05820392032935123
THG,0.0669920317126191,0.018555366039243067,-0.019687880886094196
TIP,0.06533776145193206,0.03976349610527526,0.04511278617941356
TLD,0.06930897016385781,0.013983330995202397,0.027961028674810432
TLH,0.06853910894237515,0.02540176837027933,-0.027002599389854057
TMP,0.02190108296907886,0.0967317893920815,0.06704018207071966
TMS,0.06420068026819245,-0.03241998712232705,0.030689573996147853
TMT,0.031123165608523705,0.014676923894097778,0.02722048624015308
TN1,0.06530658173622343,-0.04602132997123323,0.019540240260701964
TNH,0.05433312745213851,-0.021622044373995394,-0.06774064811652691
TNI,0.06396956033401707,-0.05407507904910944,0.004641247455753603
TNT,0.06902606264661926,-0.01634184257785351,0.03510171500243852
TPB,0.06582626492738249,0.033882535655623006,-0.05731184196699415
TRA,0.02975002872980346,-0.08053864499630459,-0.06895080893333912
TRC,0.06855374148397789,-0.01755788025930259,0.03482889584799467
TSC,0.06810837153446594,-0.033408037460371076,0.005641791204797201
TTA,0.06289608378660717,-0.05090815801149663,-0.01704563624925636
TTF,0.06574526546931497,-0.042786670144899425,0.02555662563736828
TV2,0.05175188415635246,0.08448893413576805,0.0014820867390156996
TVB,0.07059691008289229,0.0001848767589469837,-0.03380317654818182
TVS,0.06529669634619611,0.032649008727953906,-0.009185642132863402
TVT,0.050230017481163916,-0.0865621602896252,-0.01131791649682894
TYA,0.06318456246657077,-0.05594530737232219,-0.024176348801529354
UIC,0.06206471914287205,-0.05210480090930306,-0.013575037247972885
VAB,0.06866678350722817,-0.03263528488658302,-0.03431763880929441
VCA,0.05402264470059044,-0.07495298667810679,0.050761027237819945
VCB,0.003792638737214946,0.11200004129877246,-0.08637766131155475
VCI,0.06039178624150606,0.05766796264981142,-0.025040645302633734
VDS,0.054187767544517935,0.08096490061818086,-0.025827507515647313
VFG,0.045928724268083886,0.03385003856163409,-0.006157296983340902
VGC,0.04174256400265039,0.04656504659369948,0.11673816377501693
VHM,0.06238090615259817,-0.03976401634121521,-0.06008035135462576
VIB,0.0627335740640673,0.04794665164971863,-0.05522004991391715
VIC,0.057021605946059796,-0.06247429726959214,-0.04614071818785526
VID,0.0628185728551941,-0.05423157076556076,0.020072054614862327
VIP,-0.002482921772512581,0.11346211882705619,-0.09362354360520114
VIX,0.03899885215476952,0.10311535063093817,7.215562857034824e-05
VJC,0.05317432331651919,-0.057413154975900514,0.07613488546997801
VMD,0.0562117489381107,-0.03454597806914185,-0.08096210986556052
VND,0.06942972052185861,0.015277915973811153,0.036556979325037785
VNE,0.056529836143377275,-0.03366207371152026,-0.1078032150768638
VNG,0.060386936689075736,-0.03735694889829635,0.00832446639981685
VNL,0.056612830534449626,0.03121731615205568,-0.11057873965094735
