,PC1,PC2,PC3,PC4,PC5,PC6
GAS,0.0275187031699507,-0.06887576938945948,0.027893163186280483,-0.04492143012511148,0.05964785929539384,-0.05199275583446224
GDT,0.05526063596693695,-0.07645340748074883,0.009627917463506675,0.039504623842397994,0.0015618505164760133,0.026671360024513938
GEE,0.06494176535715246,0.018806135859076704,0.010350663183654716,-0.05025913993180465,-0.04092696029772116,0.03632459975270157
GEX,0.06502378857543524,0.04650174660939766,0.021242205066827446,0.002794036995692855,0.01624092944920961,-0.04184768407607381
GMD,0.02758571653325756,0.08107448074469949,0.13358003468200963,-0.04344648951596341,-0.04822066358800376,-0.006930842228007517
GSP,0.05102044056091591,0.07876796271424137,-0.04045874059984589,-0.01250680946416045,-0.016111247812641456,-0.013552503763311248
GTA,0.051879370458675876,0.032257849477324865,0.028285500126292627,0.06403522479304559,0.16103731827705162,-0.0934600968753705
GVR,0.06970475244087397,0.02628285347222368,-0.0043339865661735895,-0.022113087734292488,-0.0023653492587370076,0.03564402392521386
HAG,0.0415478749631171,0.037062167808532824,0.060888561092075716,-0.10612230728743736,0.10409013403742257,0.1618350469730078
HAH,0.0505994893205698,0.015060710139535307,0.13703938957379944,0.06372404569554864,-0.11084642732581768,-0.008789914922362056
HAP,0.06735004727959418,-0.023319417138376656,0.059711049040841714,0.03358074782919532,0.02571702461357591,-0.019931706072147417
HAR,0.06684246390797445,-0.015491251580598876,0.006334741497533044,0.06642657735268005,-0.04444065325839281,0.026687902637884307
HAX,0.06232104515701657,0.006767030966532733,-0.07612646945668006,-0.02223036126553198,0.12221055422994853,0.045374667054445955
HCD,0.06299110577862893,0.042727222574603214,-0.045171499101311484,-0.05945849724615734,-0.04027303847322603,0.00122354169189931
HCM,0.048165831649059805,0.05960031656102189,-0.08954426402806438,-0.0773196830701489,0.04760512405792452,0.03262027879699343
HDB,0.03583772896746701,0.09832790272281894,0.03159462305501974,-0.038371261537931675,-0.023340245018913616,0.11208353692649849
HDC,0.06498001367543692,0.022787605118170236,0.017839767015141176,0.03207733602554879,0.0500055735840732,-0.033302308232565025
HDG,0.06625282721769989,-0.014209982325790935,0.011427511029318336,0.05698562386954345,0.04716871322977904,0.05481113262407009
HHP,0.03608286531947959,0.08624160752324056,-0.07160023031754027,0.054811609006162346,-0.0008144276708672431,-0.05456843301995721
HHS,0.063957048506829,0.048519159673900816,-0.019052370213071032,-0.06327590415427567,0.008467231824058417,-0.0036229959885901355
HHV,0.05320674564503923,0.07904336792139706,-0.05410980793965974,0.0020839117507838465,-0.008882396262902286,0.013591087434327114
HII,0.06911253503891801,-0.01995616229668854,0.04529461479789201,0.008666474029639201,-0.007293368499562423,-0.00495457835481468
HMC,0.06503250031780426,-0.041155173060369546,0.055637279714429784,-0.007035987152059446,-0.042335890985724364,0.036402376681888934
HNA,-0.04230523457259693,0.06348946071842673,0.09866120370791495,-0.0017121429849379284,0.08391957988829547,0.14987554716747822
HPG,0.05875896341144399,0.06516129589722652,-0.04117790914524285,-0.0037043603526557274,-0.058206875295540694,-0.003361383996712445
HPX,0.058301202621596,-0.06265558106709507,0.040140498016143736,-0.0558579003516016,0.06010226477669608,-0.02448279386714952
HQC,0.06488887983716643,0.017777925357508065,-0.0372082571840247,0.0718096898497003,-0.05022241982933749,0.04885342624301071
HSG,0.05539338412235742,0.07027439010549556,-0.056422908077853204,-0.05391969113414641,-0.022523134437683022,0.019381291214652686
HSL,0.0551440974275183,0.05540601406748706,0.008241566706595487,-0.04156235799006273,0.0020685260098067823,-0.10574031114845157
HT1,0.05851001357053793,0.010524537282304292,-0.07289986952771976,0.11008699077053134,-0.060862575851502856,0.07587608708076127
HTG,0.06249949549127801,0.04240266627731675,-0.017017361062454203,-0.03507813794130349,-0.0787721860122723,0.006873619004051022
HTI,0.057203914618964256,0.045108057307800646,-0.05856544932461274,-0.019872398658412675,0.04976295821118578,-0.031504915235572126
HTL,0.06066748577857315,-0.05095206371036386,-0.04576561918793884,-0.036665365840869414,0.028619571347177866,0.03954459389091707
HTN,0.06464091077261788,-0.04208874224007607,0.06140615850322858,0.002780912680994654,0.0255434817071171,-0.03359156324933939
HUB,0.06900521805645903,0.01545981737454829,0.02376952955670806,0.0018782027317299627,0.04254853908767816,-0.013864288605870953
HVH,0.06612177108378302,0.005681549656904918,-0.08314311409235463,-0.023331214814170647,0.008860177826524263,-0.03526640039426767
HVN,0.0666665003528844,-0.021184089897644726,-0.062019288697307454,-0.02165130144005321,-0.05558794858708442,0.04698942135966189
HVX,0.06911387010112302,-0.025441754313805274,-0.0033628483840738724,0.04018506985045026,-0.025574762081542683,-0.032279216235804424
ICT,0.0604901691302302,-0.05883371097796029,-0.015882666168184498,-0.06362937917873601,0.053366286951830454,0.016387171042045172
IJC,0.06848833541502625,0.025208374302152784,-7.114906566973197e-06,0.03850742647067086,0.02731945639637867,0.04135898109335077
ILB,0.05464799225304126,-0.014720732614386273,0.06787798890755205,0.09231581033458666,-0.01131682046643434,0.07004938087861085
IMP,0.06241122959817232,-0.05183549776140253,0.02494667082898973,-0.05514559177677411,0.052871198007401164,-0.034341461030355354
ITC,0.057109348271791455,0.03710634143188528,-0.03254123093903826,0.08094613960383587,0.13769939842862897,-0.0015876463531463761
