PC,Symbol,Loading,AbsLoading,Direction,Sector
PC7,CKG,-0.10403042508685033,0.10403042508685033,Negative,Unknown
PC7,DGC,-0.10108461036161383,0.10108461036161383,Negative,Unknown
PC7,BTP,0.10023457728340193,0.10023457728340193,Positive,Unknown
PC8,OPC,-0.3390291742746034,0.3390291742746034,Negative,Unknown
PC8,TRA,0.1844038253639786,0.1844038253639786,Positive,Unknown
PC8,VNM,-0.17813158435706533,0.17813158435706533,Negative,Unknown
PC8,CTG,-0.15194853880981957,0.15194853880981957,Negative,Unknown
PC8,BIC,0.1476610506502862,0.1476610506502862,Positive,Unknown
PC8,KBC,-0.14514590840045613,0.14514590840045613,Negative,Unknown
PC8,AAM,0.13554047673223282,0.13554047673223282,Positive,Unknown
PC8,DCM,0.1273233827239466,0.1273233827239466,Positive,Unknown
PC8,DRL,0.12581474637434412,0.12581474637434412,Positive,Unknown
PC8,PDV,0.12531499526896067,0.12531499526896067,Positive,Unknown
PC8,VNG,-0.12300830270188311,0.12300830270188311,Negative,Unknown
PC8,KDC,-0.1191903819971289,0.1191903819971289,Negative,Unknown
PC8,DHM,0.11629437126193388,0.11629437126193388,Positive,Unknown
PC8,TDP,-0.11602765016721098,0.11602765016721098,Negative,Unknown
PC8,OGC,0.11113857548640782,0.11113857548640782,Positive,Unknown
PC8,STB,-0.11067838909534447,0.11067838909534447,Negative,Unknown
PC8,CKG,0.10945629865433658,0.10945629865433658,Positive,Unknown
PC8,SZL,0.10921163563849581,0.10921163563849581,Positive,Unknown
PC8,GMD,0.10780081388221732,0.10780081388221732,Positive,Unknown
PC8,HCM,-0.10770010333071951,0.10770010333071951,Negative,Unknown
PC9,BIC,0.1832167363647191,0.1832167363647191,Positive,Unknown
PC9,BSR,-0.16544119307288624,0.16544119307288624,Negative,Unknown
PC9,HSL,-0.15638759696287363,0.15638759696287363,Negative,Unknown
PC9,CRC,0.15286516537269074,0.15286516537269074,Positive,Unknown
PC9,BCM,0.15217684275988028,0.15217684275988028,Positive,Unknown
PC9,YEG,-0.14870215789471408,0.14870215789471408,Negative,Unknown
PC9,TRA,0.14674438590446917,0.14674438590446917,Positive,Unknown
PC9,PC1,-0.14223197445479968,0.14223197445479968,Negative,Unknown
PC9,VTB,0.1346625820925663,0.1346625820925663,Positive,Unknown
PC9,PHC,0.12746517057784837,0.12746517057784837,Positive,Unknown
PC9,OPC,-0.12567821685547237,0.12567821685547237,Negative,Unknown
PC9,DSC,0.12269432964540157,0.12269432964540157,Positive,Unknown
PC9,PVT,-0.12254752038278986,0.12254752038278986,Negative,Unknown
PC9,VGC,-0.1214081320355375,0.1214081320355375,Negative,Unknown
PC9,VFG,0.12045571697299677,0.12045571697299677,Positive,Unknown
PC9,KDC,-0.11851803453243555,0.11851803453243555,Negative,Unknown
PC9,BAF,-0.11703118198661536,0.11703118198661536,Negative,Unknown
PC9,HTG,-0.11555212892357718,0.11555212892357718,Negative,Unknown
PC9,ITC,0.11101059486699894,0.11101059486699894,Positive,Unknown
