,coef,std_err,t,pvalue
NBB.L1,6.105423485305025,9.787506561201393,0.6237976390746448,0.5331862781988992
NCT.L1,-2.9897872192346853,3.9540880185813942,-0.7561256110599504,0.45010684685442726
NHA.L1,-4.7541723959898405,16.129511470578002,-0.294749931184337,0.7683680339740938
NHH.L1,10.411941895713664,7.74228024453126,1.344815941410557,0.17959716691648953
NKG.L1,-33.475318210937715,16.972166214475067,-1.9723656831965026,0.0493924435582625
NLG.L1,11.464503498658866,11.273271522881842,1.0169633078906042,0.3099069729774549
NNC.L1,-6.620836480569355,8.401205615613987,-0.7880817091613919,0.4312078626383272
NSC.L1,4.232637182164591,5.533325154372081,0.7649355611824531,0.4448500483985317
NT2.L1,-2.514506629724897,5.660934697768654,-0.4441857686003743,0.6571959316012298
NTC.L1,-5.986435978450956,9.24695104000472,-0.6473956607482914,0.5178206150508913
NTL.L1,31.496404210434648,17.805280334765932,1.7689361592884294,0.07781713017981354
NVL.L1,85.13995863723792,38.604430930816214,2.2054452451279225,0.028103657900996056
NVT.L1,-3.089018749711446,8.75614984038125,-0.3527827648021322,0.7244738303791138
OCB.L1,-16.645189868199495,11.288611771913452,-1.4745116764147597,0.14128580886552547
OGC.L1,2.155329182624783,7.093325010918611,0.3038531548049932,0.7614289706085411
OPC.L1,-0.702459243261026,2.076912456556463,-0.33822284663153734,0.7354077590652939
ORS.L1,-2.219699084251886,14.725012544474005,-0.15074344266585316,0.8802691001367873
PAC.L1,3.807156758586178,2.7942748645868174,1.3624847028601579,0.17396297883006692
PAN.L1,1.1665631907984861,11.2689177154279,0.103520428514744,0.9176120664477662
PC1.L1,-6.881079471978156,6.483806012796057,-1.0612716448329982,0.28933325473708044
PDR.L1,-66.73837036974801,25.75547564933039,-2.591230357319498,0.009982893154015847
PDV.L1,-10.75220423982008,4.711626231862837,-2.2820579797071416,0.023114424784222553
PET.L1,3.944683624915564,9.39633045358287,0.41981107884636343,0.6748933846195688
PGC.L1,2.834300610653525,7.008691287854871,0.404397981626754,0.6861789202818213
PGD.L1,19.145808766503215,7.4365558638212415,2.5745532094564574,0.010467162546155045
PGV.L1,-0.07191646548994868,10.157742066203948,-0.007079965707066294,0.9943552786719049
PHC.L1,-0.335549389275144,9.499922167325453,-0.035321277728911374,0.9718446564896088
PHR.L1,7.320743705016056,13.097046287946291,0.5589614287118779,0.5765626168493388
PIT.L1,-6.50355562514482,7.088569630467087,-0.9174707965330773,0.3595580032449879
PLP.L1,5.771688391492006,12.20586886313435,0.47286174021780303,0.6366206785277477
PLX.L1,4.360084885789625,9.45220736599739,0.4612768972329409,0.6449002038560065
PNJ.L1,1.3077113967068907,3.4453027672106886,0.3795635638041796,0.7045106261727366
POW.L1,-9.690547697933543,7.379146563147575,-1.313234208726712,0.1900055030834979
PPC.L1,10.27111155249733,10.015091060758392,1.0255634711842103,0.3058395661499975
PTC.L1,11.89310943855876,12.159918043698028,0.9780583549839348,0.3287533388535606
PTL.L1,-24.273377174664517,7.442231814319944,-3.2615723052269057,0.001222294653083268
PVD.L1,-2.0258682819670106,10.191190937452086,-0.19878621589966017,0.8425509279661636
PVP.L1,12.464415712173064,9.30683224773171,1.3392758545971353,0.18139154437535984
PVS.L1,-5.672993957100381,12.110096849784565,-0.46845157619043337,0.6397672636050744
PVT.L1,-2.5877903201112673,6.834198894360334,-0.3786530594312589,0.7051860886519395
QCG.L1,7.70456245888338,7.4445903184806355,1.0349209465237306,0.30145455806907656
REE.L1,-11.983163531936082,5.206581174592579,-2.3015416700717775,0.02197609280835925
SAB.L1,4.036541426075736,8.054441052590114,0.5011572373203578,0.6165905930273414
SAM.L1,-6.197424984489743,13.213136569606341,-0.46903511152268235,0.6393505445439068
SAV.L1,10.17839826564228,9.04754565447153,1.1249899867166575,0.26140106636738225
SBA.L1,5.599859898228615,5.883918127113861,0.9517229467255385,0.34192570924191623
SBT.L1,8.69156645129216,7.980150956576362,1.0891481249649204,0.27687378448050665
SBV.L1,6.605302315259446,9.232612329459597,0.715431567962961,0.4748422301967248
SCR.L1,7.778591745653941,16.03498126130534,0.4851013929417413,0.6279224392833473
SCS.L1,-16.290656208297285,7.572981645511418,-2.1511548516630725,0.03218083524202735
SFG.L1,-12.105889931016847,10.147592462871364,-1.1929814855405971,0.23372338806066148
SFI.L1,0.4973052651476557,5.585434859590663,0.08903608718911843,0.9291065939637982
SGN.L1,-5.236173055493559,4.210114856032165,-1.2437126383835537,0.2144775415876086
SGR.L1,8.608222072097703,6.967443182540771,1.2354922525480287,0.21751566070738068
SGT.L1,2.1564234340269124,8.429548094269796,0.2558172051349701,0.7982494630121311
SHA.L1,12.057602533302514,7.160648551938242,1.6838701754240915,0.09314104364893365
SHB.L1,13.733164634810038,9.915688874062509,1.3849934996178928,0.1669788228278759
SHI.L1,7.696110421906532,2.8775755185737633,2.6745120578871964,0.007851979600955423
SHP.L1,-2.169102176085044,5.8705303756240745,-0.36948998425963425,0.7119966833359379
SIP.L1,24.41007441424098,8.059462919058477,3.02874703431139,0.0026470122735734684
