,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
DXS,0.06752013347626436,-0.023236178693191764,0.060113456646809206,0.030896592819843312,0.017103472255831885,-0.00889746442592495,0.011323478498711285,-0.03815632718568225,0.018176696119126173,-0.02766874301314271,0.049103403099137494
DXV,0.06569106661159156,-0.038214223574551155,-0.0320453145039414,-0.04269107381835717,0.03088176579599904,0.020103296489299625,-0.00740331920601955,0.015198417815319082,-0.047665715322544856,-0.05502632282243138,-0.03528879765858812
EIB,0.059915723293232415,-0.03300036833198662,0.012068185609283742,-0.06884144828891509,0.0999111198437209,-0.022808455757747412,0.017323981947923745,0.03908164795774016,-0.045836489866101233,0.01808176284939871,0.009359637651054584
ELC,0.02428765213367181,0.1132017460766272,0.04520001182970113,-0.04507433826783682,-0.05915912632181949,-0.006620160682153348,-0.02915231649758284,0.00835294805441121,0.0005818199997488355,-0.031013659901048977,0.052365172654768685
EVE,0.029606447793450924,0.06519978641804872,-0.07141538787563591,0.14921651825087148,0.0869892827433132,-0.033415997352815995,-0.044638623724380246,0.05865388121688752,0.027182455160108976,-0.04733825067405559,-0.20349079527415065
EVF,0.04727155163087954,0.07921813799572758,0.04336917024012652,-0.10280400611523344,-0.0028439481870484993,0.014916699106618974,0.033157558508077,0.017577359938894657,-0.009263190485152917,-0.06498474780843687,-0.014637274307362268
EVG,0.06799059685184286,0.008879803208652911,-0.0015577083070539644,0.04746918068224551,0.030677671326979922,-0.07336068608102252,0.04432322972060015,-0.004577367641370123,0.08731393205335057,-0.029012737262278338,-0.052176961492890375
FCM,0.0678692526284196,0.01701066711901975,-0.02038216395075623,0.029110023072135185,0.004118279586986325,-0.08318613189855642,-0.03506714660463783,0.017605660453606776,0.01711823604317507,-0.033337462530977906,0.1259938501140278
FCN,0.06319670073304573,0.04355207016665095,-0.026082815337001106,0.07790252277648536,0.0034984978267170353,-0.02922437976531424,-0.003776305085102512,-0.010528349510452551,0.05997067114163136,-0.018573720356514965,0.04428318376643499
FIR,-0.024671221063745814,-0.09489576114633316,-0.07496670498597233,0.122776324698275,0.017517751063029743,0.01172039408476499,-0.05724043968268634,0.03788426726565202,-0.07865525467808018,-0.057132954616937084,0.020233205481348396
FIT,0.068269400800676,-0.015963637464230785,-0.013233731966718345,0.06724331673237124,-0.031551487694317815,-0.03329362396007008,0.04741527220872393,-0.0068162918263155745,0.0655911990054515,-0.009617662963471982,-0.018619279420690416
FMC,0.0619814999820783,0.022637425064611735,0.06126751862849365,0.06727955647710637,-0.08138205518093865,-0.059186249485991244,-0.047937328193214494,0.05594302952180197,-0.04799109612142265,0.05975910755453293,-0.04607805670555274
FPT,-0.005871199694992344,0.10883253490629999,0.10692869993179864,0.012520410867479135,-0.0437240071143475,-0.021949153221438766,-0.10537710545033345,-0.026189218324888457,0.03609842412762149,0.03387032406094629,0.03444087335753368
FRT,0.006790917793075045,0.09271666811251038,0.1336305888200765,-0.04135412860547386,-0.04455298999893607,0.020402813459434895,-0.12130960138404247,0.10078528223819114,0.04672003801674353,0.025422043902090435,-0.048968142037634936
FTS,0.048978020910890166,0.08699942741872292,-0.008033335924999876,-0.05333583329980088,0.042627803228512014,0.007814542241202585,-0.00546451972418735,0.023123020660505453,-0.06034901654815606,-0.025717236771496895,-0.02690566673651464
GAS,0.02751870316994973,-0.06887576938946051,0.02789316318673797,-0.04492143020246281,0.05964785375814622,-0.05199279288509143,-0.24427589233887018,-0.012808089885584193,-0.06925004574582502,0.20659759195944985,0.1331726540738509
GDT,0.055260635966935846,-0.07645340748074964,0.009627917463132508,0.039504623902804875,0.0015618548702871528,0.026671389277727477,0.009129703932999472,-0.016008394724381262,-0.022945487971100693,0.05504139041877669,0.011963667738591253
GEE,0.06494176535715271,0.01880613585907558,0.010350663183710989,-0.0502591399364318,-0.04092696089472049,0.036324596930687666,0.04050449579178343,0.025463840366514,-0.0727405782651312,-0.08684478962064493,-0.027574370316727506
GEX,0.06502378857543586,0.04650174660939622,0.021242205067140446,0.0027940369450613917,0.016240925944101287,-0.041847708269171564,-0.025681078383075897,-0.07275040155139346,0.03475933030002981,-0.05851104916305629,-0.015555618769127364
GMD,0.027585716533258725,0.08107448074469677,0.13358003468217172,-0.04344648954134107,-0.048220665409321184,-0.006930854771318674,-0.03894895057997637,0.10780081388221675,-0.05706917365684544,-0.005765121628412056,0.034381192164093057
GSP,0.051020440560917,0.0787679627142414,-0.040458740599952005,-0.012506809447929862,-0.016111246235025287,-0.013552495576966883,-0.0625865820002086,0.06892258067957215,-0.08753086850693652,0.007972880293756136,0.06062303113974245
GTA,0.051879370458676334,0.03225784947732362,0.028285500126363373,0.06403522478372867,0.16103731764414644,-0.09346010271225444,0.054062397390139134,0.02656836481456044,-0.06697879918491331,-0.027362891222043276,-0.03457480645239383
