,PC1,PC2,PC3,PC4
CIG,0.0685661574625304,0.022575662601575917,-0.011720837750344987,0.01595185220979999
CII,0.06579309407234697,0.026495749224752296,0.011087253192174169,0.04898553132592022
CKG,0.015995554081164147,0.037088378775756735,-0.1343373563093903,-0.005179784264861493
CLC,0.037312267523727474,0.08740174885915952,0.0540553328265364,-0.014642079937944997
CLL,0.014574408419557618,0.12389897289872566,0.017880512097964974,-0.006863425163460016
CMG,0.04836717413389426,0.03658441232052331,0.1212388464777062,0.07957705454561455
CMX,0.06567402573426555,-0.03341430931092719,0.039654833398590765,0.06381345320419467
CNG,0.05682230234302563,0.06362032586947847,0.027879612560792945,0.04429355965982867
CRC,0.06831941811647184,-0.002649727853026658,0.005486391822981934,-0.002829233812964124
CRE,0.06451945429617087,-0.05081507656964585,0.01638188567298037,-0.025036330033647827
CSV,0.06364086274012293,-0.039799800480634424,0.06291394856594675,-0.027317369955063987
CTF,-0.04380174785001445,0.073246387232813,-0.06507304058568851,0.04520855869613955
CTG,0.024886629771635166,0.09006436856269716,-0.06731842123879546,-0.052947076858778835
CTI,0.0621780143066798,0.047945788224446784,-0.06843312412828785,-0.01824686753177208
CTR,0.03198604034710441,0.10025085244331987,0.07640024960442801,0.014155286934655046
CTS,0.03379004637365277,0.10982868417412453,-0.023268358530876863,-0.016305153835363195
D2D,0.07031945187344199,-0.01895316880207754,-0.013028340442342003,-0.030144314978891355
DAH,0.061625816725647015,-0.0484462767164949,0.049847423378609625,0.04846874683495266
DAT,0.06370105516556201,-0.04703514194777773,-0.008888910437165476,-0.009876009103430127
DBC,0.0647710406046607,0.048314901919172655,0.006586217850869663,-0.016197386379938603
DBD,0.0259253600270524,0.07938295557357478,0.12525216330892064,0.032992997578004196
DBT,0.04219192392293357,0.07352424373184019,-0.048096625085654855,0.10493534788900784
DC4,0.06905219738560077,0.016597079796096512,-0.008538391792771707,-0.023499869983876816
DCL,0.06090302889616899,-0.02297665626012972,-0.06218144722636161,-0.065155238774234
DCM,0.05160866978302887,0.03269854736657942,0.08215867971046925,-0.05289778882533566
DGC,0.03730915499001788,0.03526470819112094,0.17782605125930567,-0.0004139769338716084
DGW,0.06094571251209496,-0.031094671268533037,0.09346468600500067,-0.02366888710122966
DHA,0.038761818308511525,0.1026147197747892,-0.019236923107470844,-0.009666659647837446
DHC,0.06661064120369876,-0.013226707158640457,0.04897768685955941,0.03190562391827543
DHG,0.020180131324672244,0.08807165483256903,-0.05731909737342211,0.14253229654813382
DHM,0.04017921145131659,-0.08512932003749776,-0.03904044657679715,-0.07117265093823694
DIG,0.0686638879443889,-0.0011175220221666521,0.060046548828116685,0.015731145192396944
DLG,0.06716744721552668,-0.029635009038518102,0.010585039133698331,0.062414891276465205
DMC,0.02241753323264304,0.10263885026887624,0.01988253622516018,0.06773083333245522
DPG,0.06926402532968667,0.016926471803272496,-0.013857451399713602,-0.015470700054306676
DPM,0.04851130755365841,-0.037249530130323845,0.08238360790541281,0.014914138889390015
DPR,0.06716131295318896,0.02214522120251825,0.05178605023709818,-0.003945928612649691
DQC,0.06541288832863235,-0.033007275146936334,-0.04982672799172887,0.05415128786948121
DRC,0.055488249072687706,0.03724388572084525,0.09164677688664274,-0.036986155891415934
DRL,0.030525447525810125,0.07231029107987709,0.025324024164120947,-0.10315181102678268
DSC,-0.03601916215220873,0.015392956865819487,-0.008441759932962598,-0.006441628676579191
DSN,-0.018898659353454254,0.09313213829996533,-0.05151813724173506,0.06127313344218696
DTA,0.06885676828778059,-0.025900251248649475,-0.01884401025147005,0.011259957689884546
DTL,0.05061838523193655,-0.04379306153767681,-0.13080523325270987,0.040226301186112035
DVP,0.027037274040158335,0.1129478033194276,0.044995823059478635,-0.03187066138679468
DXG,0.0672451364722952,0.006410021986101818,0.0642908018242216,0.003259383660499103
DXS,0.06752013347626441,-0.02323617869319199,0.060113456647063496,0.03089659281693997
