,PC1,PC2
OCB,0.0550460568129451,0.0638305344674417
OGC,0.04463027054104783,-0.06678119936649217
OPC,0.009673320829297857,-0.0035540645430789533
ORS,0.06564612617817109,0.04888740802347659
PAC,0.043233901095900536,-0.07721099745599866
PAN,0.07023135311113105,0.014209399742019076
PC1,0.0543536271449566,0.03452088456796994
PDR,0.06570479339985362,-0.03100408225421753
PDV,-0.025390366795849634,0.07210121452008782
PET,0.06689124070515648,0.016305000169862267
PGC,0.05823431447603171,-0.07015200992799286
PGD,0.009331464125067142,0.11275670169958735
PGV,0.06786936709645226,0.024674165940030676
PHC,0.06454297804627013,0.012630373442335837
PHR,0.07091945587572342,-0.0035097955173826255
PIT,0.05832072769720149,0.036093882470832846
PLP,0.061936952618231164,-0.0487372512326818
PLX,0.06366742382271089,0.011604689814186228
PNJ,0.01230087217814481,0.005248103582959954
POW,0.05812283343522974,-0.010278481155112021
PPC,0.06890981775953196,-0.013914431163942876
PTC,0.06639726509344789,-0.0374111878406823
PTL,0.06509981386925073,-0.01176761473531868
PVD,0.01257285662550231,0.11701683633569836
PVP,0.05628674371994125,0.061022422108435934
PVS,0.009298648680408179,0.12066758536552058
PVT,0.01761019486841766,0.11151790794001733
QCG,0.05578722948716936,0.06406789524362377
REE,-0.004727519920290476,-0.057582397166855814
SAB,0.010230066067211422,-0.10685756231255482
SAM,0.06257574740217514,-0.05176079342648812
SAV,0.06968116280169813,0.003323405125531197
SBA,-0.037389514617972804,0.08466455759516313
SBT,0.06648121107868783,0.002927828578732397
SBV,0.060713351185812454,-0.05956959441154057
SCR,0.06755056210115157,-0.012500837083060793
SCS,0.06408438420723539,-0.043837243966021386
SFG,0.06870072573514634,-0.02851284596134641
SFI,0.0644151455544484,-0.021163860777029253
SGN,0.04125529378453702,0.05731401126126883
SGR,0.053741587361277515,0.0588973312460064
SGT,0.06785458503642233,-0.028702101007604376
SHA,0.06700963878517183,0.01632372867494552
SHB,0.06127921972251645,0.05721962367675256
SHI,0.017766474164917376,-0.03532444872407102
SHP,-0.003810262933661047,0.10907618163788695
SIP,0.03579938500221016,0.09656065461602432
SJD,0.06531534263184864,-0.002148571822932175
SJS,0.06342667639845109,0.015144287753773137
SKG,0.0504407115367952,-0.00621153473753691
SMB,0.05239050340525903,-0.045928103082510933
SMC,0.0688654631428882,-0.03388691280141674
SRC,-0.01690134209615124,0.0991780547459709
SSB,0.05415544918057243,-0.0444593029707809
SSI,0.062376603331443306,0.05865669988633738
ST8,-0.026493633397248244,0.07060305836431548
STB,0.03156538174220863,0.09538483184915958
SVD,0.059472070136668345,-0.06016604545403728
SVT,0.06894113877726389,0.003616716917304132
SZC,0.06559235174198612,0.04511089274975875
SZL,0.048225899876832824,0.07608409395373102
TBC,-0.014464231835786904,0.12231129556756193
TCB,0.06608753104210777,-0.04444425797817973
TCD,0.06914289931001388,-0.013088357597012414
TCH,0.05786839645383011,0.06567285505197637
TCI,0.05718228771977201,0.07277503674573926
TCO,0.06590023914220901,-0.02757694548277698
TCT,0.05086428702954345,-0.0808363366224171
TDC,0.05856661231333032,-0.03338450387572461
TDG,0.06742033042121029,-0.03573528808954427
TDH,0.06921192399339195,0.007693653702952822
TDM,0.009356759581728723,0.099872402456735
TDP,-0.03295416108652577,0.08540084400406904
TEG,0.05737309588813679,0.05853774332154011
THG,0.06699203171261932,0.018555366039241846
TIP,0.06533776145193247,0.03976349610527396
TLD,0.06930897016385792,0.013983330995201826
TLH,0.06853910894237543,0.025401768370279038
TMP,0.021901082969079947,0.09673178939208135
TMS,0.06420068026819209,-0.032419987122328076
TMT,0.03112316560852385,0.014676923894097577
TN1,0.06530658173622295,-0.046021329971233406
TNH,0.05433312745213827,-0.02162204437399635
TNI,0.06396956033401648,-0.05407507904911023
TNT,0.06902606264661902,-0.016341842577854537
TPB,0.06582626492738279,0.033882535655622034
TRA,0.02975002872980256,-0.0805386449963036
TRC,0.06855374148397764,-0.01755788025930382
TSC,0.06810837153446563,-0.03340803746037175
TTA,0.06289608378660665,-0.050908158011496896
TTF,0.0657452654693145,-0.042786670144900264
TV2,0.051751884156353366,0.08448893413576797
TVB,0.07059691008289234,0.0001848767589459585
TVS,0.0652966963461965,0.03264900872795315
TVT,0.050230017481162965,-0.0865621602896259
TYA,0.06318456246657017,-0.055945307372322804
UIC,0.062064719142871455,-0.05210480090930394
VAB,0.06866678350722785,-0.03263528488658413
